review_id,rating_date,employee_length,employee_status,employee_type,flags_business_outlook,flags_ceo_approval,flags_recommend_frend,rating_culture_values,rating_diversity_inclusion,rating_overall,rating_work_life,career_opportunities_rating,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_senior_leadership,rating_compensation_benefits,summary,sentiment_polarity,sentiment_subjectivity,sentiment_label
1,2025-06-03T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,0,0,3,0,,"Richmond, VA",Warehouse Fulfillment Associate,don’t micro manage,interactive leave take whenever long time easy work,inhumane draining physically amp mentally,0,0,interactive leave take whenever long time easy work inhumane draining physically amp mentally,-0.1233333333,0.4952380952,negative
2,2025-05-29T00:00:00.000Z,1,CONTRACT,"Current employee, less than 1 year",POSITIVE,APPROVE,POSITIVE,5,5,4,3,,"Brampton, ON",Warehouse Associate,remove attitude manager warehouse,good easy work enviorment,sticks rules completing targets otherwise get warning,3,5,good easy work enviorment sticks rules completing targets otherwise get warning,0.5666666667,0.7166666667,positive
3,2025-05-28T00:00:00.000Z,1,REGULAR,"Current employee, less than 1 year",POSITIVE,APPROVE,POSITIVE,5,5,5,5,,"Bolton, ON",Warehouse Associate,,help grow good pay,limited opportunities advancementno clear path promotion,5,5,help grow good pay limited opportunities advancementno clear path promotion,0.2428571429,0.3753968254,positive
4,2025-05-26T00:00:00.000Z,2,PART_TIME,Current employees,POSITIVE,APPROVE,POSITIVE,2,2,3,2,,"Swedesboro, NJ",Employee,,plenty work meet new people,tough body labor intensive,2,2,plenty work meet new people tough body labor intensive,-0.1262626263,0.6439393939,negative
5,2025-05-23T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,0,0,4,0,,"Whitby, ON",Fulfillment Associate,,good holiday pay additional benefits permanent employees,hiring permanent employees directly,0,0,good holiday pay additional benefits permanent employees hiring permanent employees directly,0.4,0.5,positive
6,2025-05-18T00:00:00.000Z,2,REGULAR,Former employees,NAN,NAN,NAN,3,3,3,3,,"Kenosha, WI",Warehouse Associate,,nice people great pay benefits,management care employees hours way long,2,4,nice people great pay benefits management care employees hours way long,0.45,0.7166666667,positive
7,2025-05-17T00:00:00.000Z,4,REGULAR,Current employees,NEGATIVE,NO_OPINION,NEGATIVE,4,4,4,3,,"Oklahoma City, OK",Associate,physical strength,learn lift trucks pallet jack flex schedule shifts,fast paced working environment weight lifting,5,5,learn lift trucks pallet jack flex schedule shifts fast paced working environment weight lifting,0.2,0.6,positive
9,2025-05-14T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NAN,NAN,NAN,0,0,3,0,,"Clarksville, TN",Fulfillment Associate,get better,good pay long hours,management absolutely terrible communicating,0,4,good pay long hours management absolutely terrible communicating,-0.1166666667,0.6666666667,negative
11,2025-05-13T00:00:00.000Z,4,REGULAR,Former employees,POSITIVE,APPROVE,POSITIVE,5,5,5,5,,"Windsor, CT",Picker/Packer,appreciation employees,tuition reimbursement schedule flexibility benefits salary overtime opportunities,standing 10 hours noise safety hazards overworking get write ups meeting rate expectations,4,5,tuition reimbursement schedule flexibility benefits salary overtime opportunities standing 10 hours noise safety hazards overworking get write ups meeting rate expectations,0,0,negative
12,2025-05-07T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,0,0,3,0,,"Sparrows Point, MD",WHSS,,benefits great start immediately,workplace culture bad,0,0,benefits great start immediately workplace culture bad,0.05,0.7083333333,negative
